from,to,timeGap,value,functionName
0x14a4e179f124960039e9936519c3a1f62b8f6355,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0,3e+17,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x14a4e179f124960039e9936519c3a1f62b8f6355,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,590379,3.5e+17,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x14a4e179f124960039e9936519c3a1f62b8f6355,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,173587,2500000000000000.0,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x14a4e179f124960039e9936519c3a1f62b8f6355,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0,1500000000000000.0,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x14a4e179f124960039e9936519c3a1f62b8f6355,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0,1500000000000000.0,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x14a4e179f124960039e9936519c3a1f62b8f6355,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,3214333,2e+17,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x14a4e179f124960039e9936519c3a1f62b8f6355,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,92239,1000000000000000.0,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x14a4e179f124960039e9936519c3a1f62b8f6355,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,72723,1.5e+17,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x14a4e179f124960039e9936519c3a1f62b8f6355,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,78563,3e+17,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x14a4e179f124960039e9936519c3a1f62b8f6355,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1134953,2.5e+17,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x14a4e179f124960039e9936519c3a1f62b8f6355,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,10,2e+17,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x14a4e179f124960039e9936519c3a1f62b8f6355,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,70056,2e+17,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
